rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0284.jpg,113.6,0.5339,0.6187,0.375,0.56,11,3,False,False
77,frame_0379.jpg,151.6,0.533,0.7499,0.5,0.04,15,4,False,False
78,frame_0020.jpg,8.0,0.5318,0.4386,0.375,1.0,8,3,False,False
79,frame_0283.jpg,113.2,0.5304,0.4778,0.625,0.52,9,5,False,False
80,frame_0370.jpg,148.0,0.5282,0.6655,0.625,0.04,18,5,False,False
81,frame_0209.jpg,83.6,0.5269,0.6157,0.25,0.72,10,2,False,False
82,frame_0127.jpg,50.8,0.5262,0.5073,0.375,0.8,12,3,False,False
83,frame_0028.jpg,11.2,0.5257,0.5014,0.25,1.0,10,2,False,False
84,frame_0178.jpg,71.2,0.5251,0.5362,0.75,0.16,12,6,False,False
85,frame_0318.jpg,127.2,0.5242,0.6524,0.5,0.24,12,4,False,False
86,frame_0368.jpg,147.2,0.5242,0.7323,0.5,0.04,20,4,False,False
87,frame_0207.jpg,82.8,0.5229,0.4258,0.5,0.8,7,4,False,False
88,frame_0311.jpg,124.4,0.5225,0.5791,0.75,0.04,14,6,False,False
89,frame_0319.jpg,127.6,0.5219,0.7068,0.375,0.28,12,3,False,False
90,frame_0309.jpg,123.6,0.5185,0.7641,0.375,0.12,12,3,False,False
91,frame_0320.jpg,128.0,0.5181,0.6401,0.5,0.24,11,4,False,False
92,frame_0322.jpg,128.8,0.5174,0.5958,0.625,0.16,10,5,False,False
93,frame_0298.jpg,119.2,0.5158,0.6576,0.25,0.56,12,2,False,False
94,frame_0375.jpg,150.0,0.5151,0.7251,0.375,0.2,12,3,False,False
95,frame_0119.jpg,47.6,0.5126,0.5332,0.5,0.48,11,4,False,False
96,frame_0329.jpg,131.6,0.5122,0.6175,0.625,0.08,19,5,False,False
97,frame_0169.jpg,67.6,0.5102,0.5125,0.5,0.52,11,4,False,False
98,frame_0208.jpg,83.2,0.509,0.564,0.25,0.76,8,2,False,False
99,frame_0215.jpg,86.0,0.5087,0.5255,0.5,0.48,12,4,False,False
100,frame_0078.jpg,31.2,0.5086,0.5312,0.25,0.84,12,2,False,False
101,frame_0186.jpg,74.4,0.5084,0.7009,0.5,0.04,14,4,False,False
102,frame_0373.jpg,149.2,0.5081,0.7272,0.375,0.16,18,3,False,False
103,frame_0072.jpg,28.8,0.5079,0.5408,0.125,1.0,13,1,False,False
104,frame_0396.jpg,158.4,0.5053,0.6466,0.5,0.16,10,4,False,False
105,frame_0025.jpg,10.0,0.5051,0.3853,0.375,1.0,8,3,False,False
106,frame_0301.jpg,120.4,0.505,0.6091,0.375,0.44,12,3,False,False
107,frame_0098.jpg,39.2,0.5049,0.6938,0.5,0.04,13,4,False,False
108,frame_0130.jpg,52.0,0.5048,0.4915,0.25,0.92,15,2,False,False
109,frame_0073.jpg,29.2,0.5045,0.459,0.25,1.0,13,2,False,False
110,frame_0115.jpg,46.0,0.5045,0.581,0.5,0.32,13,4,False,False
111,frame_0089.jpg,35.6,0.5035,0.697,0.25,0.4,10,2,False,False
112,frame_0118.jpg,47.2,0.5032,0.5305,0.5,0.44,10,4,False,False
113,frame_0174.jpg,69.6,0.5026,0.5771,0.5,0.32,14,4,False,False
114,frame_0288.jpg,115.2,0.4995,0.4861,0.375,0.72,12,3,False,False
115,frame_0103.jpg,41.2,0.4981,0.6323,0.5,0.16,11,4,False,False
116,frame_0297.jpg,118.8,0.497,0.679,0.125,0.6,13,1,False,False
117,frame_0377.jpg,150.8,0.4949,0.6418,0.5,0.12,16,4,False,False
118,frame_0090.jpg,36.0,0.494,0.544,0.5,0.36,11,4,False,False
